"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_EmptyCan_DN","Empty Can","Empty Can","Prázdná plechovka","Leere Dose","Пустая банка","Pusta puszka","Lattina vuota","Lata vacía","Boîte vide en métal","空罐","空き缶","Lata vazia","空罐",
"STR_CookZ_EmptyCan_DS","An empty can. Can be used to put cooked food inside.","An empty can. Can be used to put cooked food inside.","Prázdná plechovka. Lze použít na vařené jídlo.","Eine leere Dose. Kann verwendet werden, um gekochtes Essen hineinzufüllen.","Пустая банка. Можно использовать для хранения приготовленной еды.","Pusta puszka. Można użyć do przechowywania gotowanego jedzenia.","Una lattina vuota. Può essere utilizzata per mettere il cibo cotto dentro.","Una lata vacía. Se puede usar para guardar comida cocinada.","Une boîte vide. Peut être utilisée pour mettre de la nourriture cuite à l'intérieur.","一个空罐。可以用来放熟食。","空き缶。調理済みの食品を入れるのに使用できます。","Uma lata vazia. Pode ser usada para colocar comida cozida dentro.","一个空罐。可以用来放熟食。",
"STR_CookZ_EmptyBox_DN","Empty Box","Empty Box","Prázdná krabice","Leere Schachtel","Пустая коробка","Puste pudełko","Scatola vuota","Caja vacía","Boîte vide en carton","空盒","空き箱","Caixa vazia","空盒",
"STR_CookZ_EmptyBox_DS","An empty box. Can be used to put cooked food inside.","An empty box. Can be used to put cooked food inside.","Prázdná krabice. Lze použít na vařené jídlo.","Eine leere Schachtel. Kann verwendet werden, um gekochtes Essen hineinzufüllen.","Пустая коробка. Можно использовать для хранения приготовленной еды.","Puste pudełko. Można użyć do przechowywania gotowanego jedzenia.","Una scatola vuota. Può essere utilizzata per mettere il cibo cotto dentro.","Una caja vacía. Se puede usar para guardar comida cocinada.","Une boîte vide. Peut être utilisée pour mettre de la nourriture cuite à l'intérieur.","一个空盒。可以用来放熟食。","空き箱。調理済みの食品を入れるのに使用できます。","Uma caixa vazia. Pode ser usada para colocar comida cozida dentro.","一个空盒。可以用来放熟食。",
"STR_CookZ_Slot_EmptyCans","Empty Cans","Empty Cans","Prázdné plechovky","Leere Dosen","Пустые банки","Puste puszki","Lattine vuote","Latas vacías","Boîtes vides en métal","空罐","空き缶","Latas vazias","空罐",
"STR_CookZ_Slot_EmptyBoxes","Empty Boxes","Empty Boxes","Prázdné krabice","Leere Schachteln","Пустые коробки","Puste pudełka","Scatole vuote","Cajas vacías","Boîtes vides en carton","空盒","空き箱","Caixas vazias","空盒",
"STR_CookZ_Peeler_DN","Peeler","Peeler","Škrabka","Sparschäler","Овощечистка","Obieraczka","Pelapatate","Pelador","Éplucheur","削皮器","ピーラー","Descascador","削皮器",
"STR_CookZ_Peeler_DS","Not impressive, not versatile - just made for exactly what it’s supposed to do.","Not impressive, not versatile - just made for exactly what it’s supposed to do.","Není působivá ani všestranná - ale přesně k tomu, k čemu je určena.","Nicht beeindruckend, nicht vielseitig - aber genau dafür gemacht, was er soll.","Не впечатляет и не универсальна - но создана именно для того, что должна делать.","Nie imponuje ani nie jest wszechstronna - ale dokładnie do tego została stworzona.","Non è impressionante né versatile, ma è fatta esattamente per ciò che deve fare.","No es impresionante ni versátil, pero está hecho exactamente para lo que debe hacer.","Pas impressionnant ni polyvalent, mais conçu exactement pour ce qu’il doit faire.","不出众，也不多用途，但正是为其用途而设计。","特別優れているわけでも多用途でもないが、その役割のために作られている。","Não é impressionante nem versátil, mas foi feito exatamente para aquilo a que se destina.","不出众，也不多用途，但正是为其用途而设计。",
"STR_CookZ_DrumPeeler_DN","Drum Peeler","Drum Peeler","Bubnová škrabka","Trommelschäler","Барабанная овощечистка","Obieraczka bębnowa","Pelapatate a tamburo","Pelador de tambor","Éplucheur à tambour","滚筒削皮器","ドラムピーラー","Descascador de tambor","滚筒削皮器",
"STR_CookZ_DrumPeeler_DS","The BFP9000 is what happens when someone with too much scrap metal and not enough patience gets tired of peeling potatoes by hand. Add water, throw in unpeeled potatoes, and rotate the drum until nature gives up. Loud, clunky, makeshift - but surprisingly effective when surviving on canned beans is no longer an option.","The BFP9000 is what happens when someone with too much scrap metal and not enough patience gets tired of peeling potatoes by hand. Add water, throw in unpeeled potatoes, and rotate the drum until nature gives up. Loud, clunky, makeshift - but surprisingly effective when surviving on canned beans is no longer an option.","BFP9000 je výsledkem toho, když někoho s příliš velkým množstvím šrotu a příliš malou trpělivostí omrzí loupat brambory ručně. Přidejte vodu, vhoďte neoloupané brambory a otáčejte bubnem, dokud to příroda nevzdá. Hlučné, neohrabané, provizorní - ale překvapivě účinné, když už přežívání na konzervovaných fazolích není možnost.","Der BFP9000 ist das Ergebnis davon, wenn jemand mit zu viel Schrottmetall und zu wenig Geduld keine Kartoffeln mehr von Hand schälen will. Wasser einfüllen, ungeschälte Kartoffeln hineinwerfen und die Trommel drehen, bis die Natur aufgibt. Laut, klapprig, improvisiert - aber überraschend effektiv, wenn man nicht mehr nur von Bohnen aus der Dose leben will.","BFP9000 - это результат того, что человек с избытком металлолома и недостатком терпения устал чистить картошку вручную. Налейте воду, закиньте неочищенный картофель и вращайте барабан, пока природа не сдастся. Шумная, громоздкая, самодельная - но удивительно эффективная, когда питаться консервированной фасолью больше не вариант.","BFP9000 powstał wtedy, gdy ktoś mający zbyt dużo złomu i zbyt mało cierpliwości miał dość ręcznego obierania ziemniaków. Wlej wodę, wrzuć nieobrane ziemniaki i obracaj bębnem, aż natura się podda. Głośne, toporne, prowizoryczne - ale zaskakująco skuteczne, gdy życie na konserwowej fasoli przestaje być opcją.","Il BFP9000 è ciò che accade quando qualcuno con troppo metallo di scarto e poca pazienza si stanca di pelare le patate a mano. Aggiungi acqua, inserisci patate non pelate e fai ruotare il tamburo finché la natura non si arrende. Rumoroso, ingombrante, improvvisato - ma sorprendentemente efficace quando sopravvivere con fagioli in scatola non è più un'opzione.","El BFP9000 es lo que ocurre cuando alguien con demasiado metal chatarra y muy poca paciencia se cansa de pelar patatas a mano. Añade agua, mete patatas sin pelar y gira el tambor hasta que la naturaleza se rinda. Ruidoso, tosco, improvisado - pero sorprendentemente eficaz cuando sobrevivir a base de judías enlatadas deja de ser una opción.","Le BFP9000 est le résultat de quelqu’un ayant trop de ferraille et pas assez de patience pour continuer à éplucher des pommes de terre à la main. Ajoutez de l’eau, jetez-y des pommes de terre non épluchées et faites tourner le tambour jusqu’à ce que la nature abandonne. Bruyant, bancal, improvisé - mais étonnamment efficace quand survivre avec des haricots en conserve n’est plus une option.","BFP9000 是某个拥有太多废金属却没有耐心继续手动削土豆的人制造出来的东西。加入清水，放入未削皮的土豆，然后不断转动滚筒，直到大自然认输。吵闹、笨重、临时拼凑 - 但当只能靠罐装豆子生存不再是选择时，它却意外地有效。","BFP9000は、スクラップ金属を持て余し、手作業でジャガイモの皮をむくことにうんざりした誰かが作り出した代物だ。水と皮付きジャガイモを入れ、自然が根負けするまでドラムを回せ。騒々しく、不格好で、即席作り - だが缶詰の豆だけでは生き延びられなくなった時には驚くほど役に立つ。","O BFP9000 é o resultado de alguém com sucata demais e paciência de menos se cansar de descascar batatas à mão. Adicione água, coloque batatas sem descascar e rode o tambor até a natureza desistir. Barulhento, desajeitado, improvisado - mas surpreendentemente eficaz quando sobreviver apenas com feijão enlatado deixa de ser uma opção.","BFP9000 是某个拥有太多废金属却没有耐心继续手动削土豆的人制造出来的东西。加入清水，放入未削皮的土豆，然后不断转动滚筒，直到大自然认输。吵闹、笨重、临时拼凑 - 但当只能靠罐装豆子生存不再是选择时，它却意外地有效。",
